datetime,open,high,low,close,volume,ema_10,ema_20,rsi_14,bb_middle,bb_upper,bb_lower,gap_alcista,cierre_alcista,etiqueta
1999-01-18,0.4375,0.48828101,0.38802099,0.41015601,271468800,0.41015601,0.41015601,,,,,False,False,sin_gap_alcista
1999-01-18,0.043749999,0.048827998,0.038802002,0.041016001,2714688000,0.3430396447272727,0.37499981866666665,,,,,False,False,sin_gap_alcista
1999-01-25,0.044271,0.046744999,0.039583001,0.039583001,1569600000,0.2878657095041322,0.34305535984126984,,,,,True,False,gap_alcista + cierre_bajista
1999-02-01,0.039583001,0.041666999,0.036068,0.041276,812688000,0.24303121686701723,0.3143144684278156,,,,,False,True,sin_gap_alcista
1999-02-08,0.041536,0.043749999,0.037239999,0.04349,631248000,0.20675099561846863,0.28852166191088074,,,,,True,True,gap_alcista + cierre_alcista
1999-02-15,0.044271,0.046094,0.039322998,0.04349,424800000,0.17706717823329252,0.2651853131574635,,,,,True,False,gap_alcista + cierre_bajista
1999-02-22,0.044271,0.054687999,0.041405998,0.045703001,1277856000,0.15318278237269387,0.24428223580913366,,,,,True,True,gap_alcista + cierre_alcista
1999-03-01,0.046875,0.047917001,0.041145999,0.043880001,344928000,0.13330954939584042,0.22519630868445425,,,,,True,False,gap_alcista + cierre_bajista
1999-03-08,0.042707998,0.046615001,0.041666999,0.042447999,599472000,0.1167892675056876,0.20779170776212527,,,,,False,False,sin_gap_alcista
1999-03-15,0.04349,0.045051999,0.042057,0.043749999,390960000,0.10350940050465349,0.19216868788001812,,,,,True,True,gap_alcista + cierre_alcista
1999-03-22,0.044661,0.044792,0.038020998,0.043620002,390096000,0.09262041895835285,0.17802119398668306,,,,,True,False,gap_alcista + cierre_bajista
1999-03-29,0.044922002,0.045963999,0.040495001,0.042707998,319488000,0.08354543332956142,0.1651342229403323,,,,,True,False,gap_alcista + cierre_bajista
1999-04-05,0.042188,0.045832999,0.039583001,0.043749999,436368000,0.0763098998150957,0.15357382066030068,,,,,False,True,sin_gap_alcista
1999-04-12,0.043228999,0.043228999,0.039062999,0.041405998,192528000,0.06996373584871465,0.1428911708831292,,,,,False,False,sin_gap_alcista
1999-04-19,0.041926999,0.041926999,0.035677001,0.035937998,489696000,0.06377723805803925,0.13270515441806927,2.1638980577723714,,,,True,False,gap_alcista + cierre_bajista
1999-04-26,0.035937998,0.039583001,0.033333,0.038020998,618000000,0.059094285320213935,0.12368761571158648,43.783464696860655,,,,False,True,sin_gap_alcista
1999-05-03,0.038410999,0.038410999,0.034375001,0.036458001,335088000,0.05497859726199321,0.11538003335810205,43.54845422614854,,,,True,False,gap_alcista + cierre_bajista
1999-05-10,0.036198001,0.040624999,0.036198001,0.037500001,458304000,0.05180067066890353,0.1079628874192352,41.98914095521797,,,,False,True,sin_gap_alcista
1999-05-17,0.036979001,0.044530999,0.034375001,0.035417002,1120704000,0.048821821820011976,0.10105375547454613,32.77723831742644,,,,False,False,sin_gap_alcista
1999-05-24,0.035677001,0.037239999,0.034766,0.035546999,568416000,0.046408217670918885,0.0948150167626846,33.14804315984398,0.0592578504,0.22457064875874175,-0.10605494795874174,True,False,gap_alcista + cierre_bajista
1999-05-31,0.035417002,0.035677001,0.034375001,0.035546999,349152000,0.04443345063984272,0.08917044364242892,26.219905050098816,0.04052739985,0.04741929727441957,0.03363550242558043,False,True,sin_gap_alcista
1999-06-07,0.035742,0.038281001,0.035546999,0.036849,470736000,0.04305445961441677,0.08418744900981663,33.125326795244405,0.0403190498,0.04739815749759823,0.03323994210240177,True,True,gap_alcista + cierre_alcista
1999-06-14,0.036913998,0.037500001,0.034115002,0.034115002,399024000,0.04142910368452281,0.07941864453269125,31.17687173636135,0.04004564985,0.047647503891688946,0.03244379580831105,True,False,gap_alcista + cierre_bajista
