datetime,open,high,low,close,volume,ema_10,ema_20,rsi_14,bb_middle,bb_upper,bb_lower
2024-01-01,49.244,49.547,47.32,49.097,1453724000,49.097,49.097,,,,
2024-01-08,49.512,55.346,49.479,54.71,2899159000,50.11754545454545,49.631571428571434,,,,
2024-01-15,55.018002,59.5,54.74,59.491,1959125000,51.82180991735537,50.570564625850345,,,,
2024-01-22,60.049,62.849,58.585,61.030998,2180966000,53.49620775056348,51.56679637576936,,,,
2024-01-29,61.232,66.6,60.7,66.16,2058987000,55.79871543227921,52.95662529236275,,,,
2024-02-05,68.225,72.185,66.3,72.133,2709823000,58.76858535368299,54.78294669309011,,,,
2024-02-12,72.6,74.611,69.62,72.613,2636656000,61.28575165301335,56.48104700803391,,,,
2024-02-19,71.947,82.394,66.248,78.817,3089619000,64.47325135246547,58.60828062631639,,,,
2024-02-26,79.7,82.3,77.125,82.279,2275212000,67.71066019747174,60.862634852381504,,,,
2024-03-04,84.13,97.4,83.417,87.528,3469163000,71.31381288884052,63.40219343786898,,,,
2024-03-11,86.429,91.96,84.166,87.837,3226556000,74.31802872723316,65.72931787235765,,,,
2024-03-18,90.388,94.778,85.010002,94.289,2887301000,77.94911441319076,68.44928759879978,,,,
2024-03-25,93.941,96.766,89.123,90.356,2087063000,80.2049117926106,70.53564116081886,,,,
2024-04-01,90.299,92.225,85.88,88.0080032,2090215000,81.62365568486322,72.19967564074086,,,,
2024-04-08,88.7,90.739,83.022003,88.186,2077138000,82.81680919670626,73.72218272257507,87.83954312933102,,,
2024-04-15,89.098,90.613,75.606,76.2,2631388000,81.6137529791233,73.95816532042505,68.51820140832223,,,
2024-04-22,78.104,88.331,76.4,87.735,2522760000,82.72670698291907,75.27024481371791,71.80061347253583,,,
2024-04-29,87.595,89.281,81.255,88.789,2088782000,83.82894207693379,76.55774530764953,71.58744781597665,,,
2024-05-06,89.39,92.22,88.231,89.878,1852604000,84.92877079021855,77.82634099263528,69.68233628704363,,,
2024-05-13,90.478,95.819,88.529,92.479,1687565000,86.30153973745153,79.22183232667003,67.88502310942596,78.38080006,105.92081587703973,50.84078424296027
2024-05-20,93.75,106.475,93.18,106.469,2460917000,89.96835069427853,81.81680067651098,74.04887276477888,81.24940006,107.8832840937233,54.615516026276694
2024-05-27,110.244,115.819,106.94,109.633,2310783000,93.54374147713696,84.46596251684326,72.8775077418864,83.99555006,110.43292449165557,57.55817562834443
2024-06-03,113.621,125.587,112.0029984,120.888,2447200000,98.51542484493024,87.93472799142961,75.69035258664489,87.06540006,115.69016096810836,58.44063915189165
2024-06-10,120.37,132.84,117.010002,131.88,1406333800,104.5817112367611,92.11999199224584,77.41636594051803,90.60785016,122.95992541731447,58.25577490268553
2024-06-17,132.99001,140.75999,124.3,126.57,1756092600,108.57958192098634,95.40094513584148,72.54881581976807,93.62835016,127.60893319945066,59.64776712054934
2024-06-24,123.24,128.12,118.040001,123.54,1832912700,111.29965793535246,98.0808551229042,67.7354042746206,96.19870016,131.0978114374177,61.29958888258231
2024-07-01,123.47,128.85001,118.83,125.83,933185200,113.94153831074291,100.72363082548475,71.94575908110241,98.85955016,134.2977961410096,63.42130417899041
2024-07-08,127.49,136.14999,127.040001,129.24001,1399485700,116.72307861788056,103.43947646115286,75.17708183278594,101.38070066,137.9709599269309,64.7904413930691
2024-07-15,130.56,131.39,116.56,117.93,1351385200,116.94251886917499,104.81952632199544,65.9886436766484,103.16325065999999,139.30617818623432,67.02032313376564
2024-07-22,120.35,124.69,106.3,113.059998,1513222900,116.23660598387043,105.60433314847205,71.45517378330823,104.43985056000001,140.05731714122922,68.8223839787708
2024-07-29,113.69,120.16,101.37,107.27,2213649400,114.60631398680307,105.7629680867128,62.185762039607745,105.41150056000001,140.17185811249965,70.65114300750037
2024-08-05,92.059998,108.8,90.69,104.75,2056049100,112.81425689829342,105.6664949355973,59.777505843470216,105.93455056,140.30282727231398,71.56627384768603
2024-08-12,106.32,125.0,106.26,124.58,1598129600,114.95348291678553,107.46778113220708,67.28841248910693,107.64575056000001,142.15584076499883,73.13566035500119
2024-08-19,124.28,130.75,123.099998,129.37,1575724000,117.57466784100635,109.55370673866355,67.9866567880066,109.7138504,144.22626220758775,75.20143859241226
2024-08-26,129.57001,131.25999,116.71,119.37,1869975300,117.90109186991427,110.48859181117179,56.54467658715383,111.27305039999999,144.48347042346558,78.06263037653439
2024-09-02,116.010002,116.21,100.95,102.83,1570114200,115.16089334811167,109.75920211486972,46.96123766739547,112.6045504,141.7850607733631,83.42404002663689
2024-09-09,104.88,120.79,103.69,119.099998,1589076900,115.87709419390954,110.64880172297737,49.23558309186251,114.17280029999999,141.00225594815097,87.34334465184902
2024-09-16,116.79,119.66,113.22,116.0,1466985900,115.8994407041078,111.15843965412239,42.7196049558621,115.53335030000001,139.55580884594306,91.51089175405696
2024-09-23,116.55,127.67,114.86,121.4,1419480300,116.89954239427001,112.13382635372977,47.631699843268926,117.1094503,137.97322752171118,96.24567307828883
2024-09-30,118.31,125.040001,115.14,124.92,1271290200,118.35780741349365,113.35155717718408,50.62933226861258,118.73150030000002,136.31969239393246,101.14330820606759
2024-10-07,124.99,135.78,124.95,134.8,1290685100,121.34729697467662,115.39426601745225,53.82581198316991,120.1480503,138.13682967600616,102.15927092399383
2024-10-14,136.47,140.89,128.74001,138.0,1357584500,124.37506116109905,117.54719306340918,53.74294545840306,121.56640029999998,140.51215867636023,102.62064192363974
2024-10-21,138.13,144.42,137.46001,141.53999,1154273100,127.49595731362649,119.8322213430845,60.80548879887269,122.5989998,143.53565708184178,101.66234251815824
2024-10-28,143.0,143.14,132.11,135.39999,987765800,128.9330541656944,121.31486597707645,60.10676584969467,122.77499929999999,144.0958122353271,101.45418636467288
2024-11-04,137.21001,149.77,135.57001,147.63,973098600,132.33249886284085,123.82106921735489,67.2537625599782,123.82799930000002,147.8474383773029,99.80856022269715
2024-11-11,148.67999,149.64999,140.080002,141.98,1017459800,134.08658997868795,125.55049119665442,65.50087486055043,124.74999930000001,150.1016084479739,99.39839015202615
2024-11-18,139.5,152.89,137.14999,141.95,1396925400,135.51630089165377,127.11234917792542,58.65988667503786,125.55599929999998,152.05138246457275,99.06061613542721
2024-11-25,141.99001,142.050003,131.8,138.25,903463700,136.01333709317126,128.1730778276468,54.475806632088975,126.00649879999999,153.06601229728818,98.94698530271178
2024-12-02,138.83,146.53999,137.82001,142.44,928447900,137.1818212580492,129.53183232025188,62.35143001826448,127.2319988,154.96313334393676,99.50086425606325
2024-12-09,138.97,141.82001,132.53999,134.25,974961000,136.6487628474948,129.98118162308504,68.47366032331423,128.2914989,155.3539260857579,101.2290717142421
2024-12-16,134.17999,136.7,126.86,134.7,1291053700,136.29444232976846,130.43059289707693,61.26842130217918,129.6629989,154.96257788535542,104.36341991464458
2024-12-23,136.28,141.89999,134.71001,137.0099945,567998700,136.424542724356,131.0572025735458,65.35145125577938,131.275998625,153.85503770702027,108.69695954297973
2024-12-30,134.83,144.89999,133.83,144.47,750963600,137.88735313810946,132.3346118522557,66.36402326571145,132.270498625,155.35422015095685,109.18677709904311
2025-01-06,148.59,153.13,134.22,135.91,1052112000,137.52783438572592,132.67512500918374,57.27525486561631,132.59749862500001,155.69350395539448,109.50149329460557
2025-01-13,129.99001,138.75,129.50999,137.71001,996041100,137.56095722468484,133.15463786545197,52.15716054007998,133.514499125,155.84278753088483,111.18621071911514
2025-01-20,139.16,148.97,137.089996,142.62,825973500,138.48078318383304,134.05610092588512,53.34008097165992,135.503999125,152.8568915247687,118.15110672523132
2025-01-27,124.8,129.0,116.25,120.07,2648916300,135.13336805949976,132.72409131389605,37.82466396453851,135.552499225,152.7167441018716,118.38825434812838
